,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
1901,Kepler-1363 b,1823.0,2.1 Earths,15.292,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2743/kepler-1363-b/,Super Earth,2016,2.1 Earths,1.25 x Earth,Unknown,2.9 days,0.0
1902,Kepler-1364 b,3748.0,5.27 Earths,13.186,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2744/kepler-1364-b/,Neptune-like,2016,5.27 Earths,2.15 x Earth,Unknown,13.3 days,0.0
1903,Kepler-1365 b,1765.0,0.721 Earths,13.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2745/kepler-1365-b/,Terrestrial,2016,0.721 Earths,0.92 x Earth,Unknown,7.7 days,0.0
1904,Kepler-1365 c,1765.0,0.437 Earths,13.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2746/kepler-1365-c/,Terrestrial,2016,0.437 Earths,0.8 x Earth,Unknown,4.8 days,0.0
1905,Kepler-1366 b,1288.0,2.63 Earths,15.889,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2747/kepler-1366-b/,Super Earth,2016,2.63 Earths,1.43 x Earth,Unknown,2.2 days,0.0
1906,Kepler-1367 b,1165.0,0.721 Earths,15.558,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2748/kepler-1367-b/,Terrestrial,2016,0.721 Earths,0.92 x Earth,Unknown,1.6 days,0.0
1907,Kepler-1368 b,5709.0,3.36 Earths,15.873,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2749/kepler-1368-b/,Super Earth,2016,3.36 Earths,1.65 x Earth,Unknown,0.7 days,0.0
1908,Kepler-1369 b,4032.0,7.7 Earths,15.35,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2782/kepler-1369-b/,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,Unknown,25.9 days,0.0
1909,Kepler-136 b,1389.0,19.8 Earths,11.754,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1553/kepler-136-b/,Super Earth,2014,19.8 Earths,2.05 x Earth,0.106 AU,11.6 days,0.0
1910,Kepler-136 c,1389.0,4.62 Earths,11.754,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5944/kepler-136-c/,Super Earth,2014,4.62 Earths,1.99 x Earth,0.133 AU,16.4 days,0.0
1911,Kepler-1370 b,2864.0,4.04 Earths,13.674,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2783/kepler-1370-b/,Super Earth,2016,4.04 Earths,1.84 x Earth,Unknown,20.3 days,0.0
1912,Kepler-1370 c,2864.0,2.15 Earths,13.674,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2784/kepler-1370-c/,Super Earth,2016,2.15 Earths,1.27 x Earth,Unknown,7.4 days,0.0
1913,Kepler-1371 b,1468.0,0.315 Earths,13.834,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2785/kepler-1371-b/,Terrestrial,2016,0.315 Earths,0.73 x Earth,Unknown,3.4 days,0.0
1914,Kepler-1371 c,1468.0,0.196 Earths,13.834,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2786/kepler-1371-c/,Terrestrial,2016,0.196 Earths,0.64 x Earth,Unknown,2 days,0.0
1915,Kepler-1372 b,3787.0,2.15 Earths,15.349,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2787/kepler-1372-b/,Super Earth,2016,2.15 Earths,1.27 x Earth,Unknown,1.3 days,0.0
1916,Kepler-1373 b,3627.0,1.65 Earths,14.072,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2788/kepler-1373-b/,Super Earth,2016,1.65 Earths,1.16 x Earth,Unknown,1.3 days,0.0
1917,Kepler-1374 b,3702.0,5.86 Earths,15.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2789/kepler-1374-b/,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,Unknown,10.7 days,0.0
1918,Kepler-1375 b,4038.0,3.68 Earths,13.71,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2790/kepler-1375-b/,Super Earth,2016,3.68 Earths,1.74 x Earth,Unknown,3.3 days,0.0
1919,Kepler-1376 b,2818.0,1.16 Earths,14.672,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2791/kepler-1376-b/,Super Earth,2016,1.16 Earths,1.05 x Earth,Unknown,5.3 days,0.0
1920,Kepler-1377 b,3324.0,2.1 Earths,15.889,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2792/kepler-1377-b/,Super Earth,2016,2.1 Earths,1.25 x Earth,Unknown,0.7 days,0.0
1921,Kepler-1378 b,1833.0,5.48 Earths,16.054,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2793/kepler-1378-b/,Neptune-like,2016,5.48 Earths,2.2 x Earth,Unknown,12 days,0.0
1922,Kepler-1379 b,3102.0,2.24 Earths,15.853,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2794/kepler-1379-b/,Super Earth,2016,2.24 Earths,1.3 x Earth,Unknown,0.9 days,0.0
1923,Kepler-137 b,997.0,2.76 Earths,12.941,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1554/kepler-137-b/,Super Earth,2014,2.76 Earths,1.47 x Earth,0.077 AU,8.4 days,0.0
1924,Kepler-137 c,997.0,4.19 Earths,12.941,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1555/kepler-137-c/,Super Earth,2014,4.19 Earths,1.88 x Earth,0.13 AU,18.7 days,0.0
1925,Kepler-1380 b,3944.0,2.63 Earths,15.614,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2795/kepler-1380-b/,Super Earth,2016,2.63 Earths,1.43 x Earth,Unknown,10.3 days,0.0
1926,Kepler-1381 b,4260.0,5.69 Earths,15.478,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2796/kepler-1381-b/,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,Unknown,25.4 days,0.0
1927,Kepler-1382 b,2381.0,4.19 Earths,12.757,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2797/kepler-1382-b/,Super Earth,2016,4.19 Earths,1.88 x Earth,Unknown,16.4 days,0.0
1928,Kepler-1383 b,3135.0,2.57 Earths,13.708,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2798/kepler-1383-b/,Super Earth,2016,2.57 Earths,1.41 x Earth,Unknown,13.9 days,0.0
1929,Kepler-1384 b,2016.0,4.42 Earths,15.446,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2799/kepler-1384-b/,Super Earth,2016,4.42 Earths,1.94 x Earth,Unknown,15.4 days,0.0
1930,Kepler-1385 b,1719.0,0.543 Earths,12.844,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2800/kepler-1385-b/,Terrestrial,2016,0.543 Earths,0.85 x Earth,Unknown,2.9 days,0.0
1931,Kepler-1386 b,2734.0,2.07 Earths,14.417,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2801/kepler-1386-b/,Super Earth,2016,2.07 Earths,1.24 x Earth,Unknown,6.7 days,0.0
1932,Kepler-1387 b,1602.0,0.749 Earths,14.58,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2802/kepler-1387-b/,Terrestrial,2016,0.749 Earths,0.93 x Earth,Unknown,2.3 days,0.0
1933,Kepler-1388 b,1605.0,7.22 Earths,16.294,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2803/kepler-1388-b/,Neptune-like,2016,7.22 Earths,0.231 x Jupiter,Unknown,12.3 days,0.0
1934,Kepler-1388 c,1605.0,5.73 Earths,16.294,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2804/kepler-1388-c/,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,Unknown,5.5 days,0.0
1935,Kepler-1388 d,1605.0,8.55 Earths,16.294,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2805/kepler-1388-d/,Neptune-like,2016,8.55 Earths,0.255 x Jupiter,Unknown,21 days,0.0
1936,Kepler-1388 e,1605.0,6.62 Earths,16.294,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2806/kepler-1388-e/,Neptune-like,2016,6.62 Earths,0.219 x Jupiter,Unknown,37.6 days,0.0
1937,Kepler-1389 b,1700.0,3.78 Earths,14.684,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2807/kepler-1389-b/,Super Earth,2016,3.78 Earths,1.77 x Earth,Unknown,99.3 days,0.0
1938,Kepler-138 b,219.0,0.066 Earths,12.472,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1556/kepler-138-b/,Terrestrial,2014,0.066 Earths,0.522 x Earth,0.076 AU,10.3 days,0.01
1939,Kepler-138 c,219.0,1.97 Earths,12.472,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5945/kepler-138-c/,Super Earth,2014,1.97 Earths,1.197 x Earth,0.0906 AU,13.8 days,0.01
1940,Kepler-138 d,219.0,0.64 Earths,12.472,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1557/kepler-138-d/,Super Earth,2014,0.64 Earths,1.212 x Earth,0.12781 AU,23.1 days,0.03
1941,Kepler-1390 b,2479.0,1.76 Earths,14.402,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2808/kepler-1390-b/,Super Earth,2016,1.76 Earths,1.18 x Earth,Unknown,6.5 days,0.0
1942,Kepler-1391 b,2352.0,3.46 Earths,13.828,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2809/kepler-1391-b/,Super Earth,2016,3.46 Earths,1.68 x Earth,Unknown,54.4 days,0.0
1943,Kepler-1392 b,3644.0,4.5 Earths,15.666,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2810/kepler-1392-b/,Super Earth,2016,4.5 Earths,1.96 x Earth,Unknown,15.1 days,0.0
1944,Kepler-1393 b,1507.0,0.437 Earths,13.332,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2811/kepler-1393-b/,Terrestrial,2016,0.437 Earths,0.8 x Earth,Unknown,2.4 days,0.0
1945,Kepler-1394 b,2675.0,2.51 Earths,11.714,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2812/kepler-1394-b/,Super Earth,2016,2.51 Earths,1.39 x Earth,Unknown,3.9 days,0.0
1946,Kepler-1395 b,1654.0,0.437 Earths,12.536,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2813/kepler-1395-b/,Terrestrial,2016,0.437 Earths,0.8 x Earth,Unknown,3.8 days,0.0
1947,Kepler-1396 b,4032.0,4.94 Earths,14.527,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2814/kepler-1396-b/,Super Earth,2016,4.94 Earths,2.07 x Earth,Unknown,18.2 days,0.0
1948,Kepler-1397 b,2512.0,3.61 Earths,14.091,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2843/kepler-1397-b/,Super Earth,2016,3.61 Earths,1.72 x Earth,Unknown,47.4 days,0.0
1949,Kepler-1398 b,2587.0,0.666 Earths,13.66,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2844/kepler-1398-b/,Terrestrial,2016,0.666 Earths,0.9 x Earth,Unknown,2.8 days,0.0
1950,Kepler-1398 c,2587.0,1.08 Earths,13.66,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2845/kepler-1398-c/,Super Earth,2016,1.08 Earths,1.03 x Earth,Unknown,4.1 days,0.0
1951,Kepler-1399 b,4097.0,2.1 Earths,15.507,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2846/kepler-1399-b/,Super Earth,2016,2.1 Earths,1.25 x Earth,Unknown,1.6 days,0.0
1952,Kepler-139 b,1290.0,8.96 Earths,12.677,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1558/kepler-139-b/,Neptune-like,2014,8.96 Earths,0.262 x Jupiter,0.127 AU,15.8 days,0.0
1953,Kepler-139 c,1290.0,11.4 Earths,12.677,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1559/kepler-139-c/,Neptune-like,2014,11.4 Earths,0.302 x Jupiter,0.586 AU,157.1 days,0.0
1954,Kepler-1400 b,2867.0,3.26 Earths,15.713,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2847/kepler-1400-b/,Super Earth,2016,3.26 Earths,1.62 x Earth,Unknown,9.1 days,0.0
1955,Kepler-1401 b,4051.0,3.46 Earths,14.972,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2848/kepler-1401-b/,Super Earth,2016,3.46 Earths,1.68 x Earth,Unknown,11.2 days,0.0
1956,Kepler-1402 b,2221.0,0.363 Earths,14.608,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2849/kepler-1402-b/,Terrestrial,2016,0.363 Earths,0.76 x Earth,Unknown,2 days,0.0
1957,Kepler-1403 b,5875.0,5.22 Earths,15.591,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2850/kepler-1403-b/,Neptune-like,2016,5.22 Earths,2.14 x Earth,Unknown,5.2 days,0.0
1958,Kepler-1404 b,3086.0,4.7 Earths,15.703,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2851/kepler-1404-b/,Super Earth,2016,4.7 Earths,2.01 x Earth,Unknown,15.9 days,0.0
1959,Kepler-1405 b,5236.0,14.9 Earths,15.818,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2852/kepler-1405-b/,Neptune-like,2016,14.9 Earths,0.353 x Jupiter,Unknown,28.2 days,0.0
1960,Kepler-1406 b,1915.0,1.37 Earths,13.382,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2853/kepler-1406-b/,Super Earth,2016,1.37 Earths,1.1 x Earth,Unknown,11.6 days,0.0
1961,Kepler-1407 b,4159.0,5.69 Earths,14.892,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2854/kepler-1407-b/,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,Unknown,20.1 days,0.0
1962,Kepler-1408 b,1390.0,0.64 Earths,11.962,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2855/kepler-1408-b/,Terrestrial,2016,0.64 Earths,0.89 x Earth,Unknown,3 days,0.0
1963,Kepler-1409 b,2355.0,1.12 Earths,15.172,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2856/kepler-1409-b/,Super Earth,2016,1.12 Earths,1.04 x Earth,Unknown,0.8 days,0.0
1964,Kepler-140 b,1937.0,3.22 Earths,12.941,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5947/kepler-140-b/,Super Earth,2014,3.22 Earths,1.61 x Earth,0.045 AU,3.3 days,0.0
1965,Kepler-140 c,1937.0,3.89 Earths,12.941,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1560/kepler-140-c/,Super Earth,2014,3.89 Earths,1.8 x Earth,0.414 AU,91.4 days,0.0
1966,Kepler-1410 b,1197.0,3.82 Earths,15.948,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2857/kepler-1410-b/,Super Earth,2016,3.82 Earths,1.78 x Earth,0.2543 AU,60.9 days,0.0
1967,Kepler-1411 b,4668.0,8.35 Earths,15.771,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2858/kepler-1411-b/,Neptune-like,2016,8.35 Earths,0.252 x Jupiter,Unknown,86.1 days,0.0
1968,Kepler-1412 b,2084.0,0.498 Earths,13.193,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2859/kepler-1412-b/,Terrestrial,2016,0.498 Earths,0.83 x Earth,Unknown,3.6 days,0.0
1969,Kepler-1413 b,3790.0,3.97 Earths,16.285,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2860/kepler-1413-b/,Super Earth,2016,3.97 Earths,1.82 x Earth,Unknown,13.2 days,0.0
1970,Kepler-1414 b,1742.0,2.04 Earths,14.861,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2861/kepler-1414-b/,Super Earth,2016,2.04 Earths,1.23 x Earth,Unknown,3.5 days,0.0
1971,Kepler-1415 b,3477.0,2.21 Earths,15.721,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2862/kepler-1415-b/,Super Earth,2016,2.21 Earths,1.29 x Earth,Unknown,0.6 days,0.0
1972,Kepler-1416 b,2632.0,0.615 Earths,14.226,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2863/kepler-1416-b/,Terrestrial,2016,0.615 Earths,0.88 x Earth,Unknown,1.5 days,0.0
1973,Kepler-1417 b,2140.0,0.972 Earths,13.858,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2864/kepler-1417-b/,Terrestrial,2016,0.972 Earths,1.0 x Earth,Unknown,20.4 days,0.0
1974,Kepler-1418 b,1628.0,3.39 Earths,15.281,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2865/kepler-1418-b/,Super Earth,2016,3.39 Earths,1.66 x Earth,Unknown,22.5 days,0.0
1975,Kepler-1419 b,4710.0,8.55 Earths,15.718,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2866/kepler-1419-b/,Neptune-like,2016,8.55 Earths,0.255 x Jupiter,Unknown,42.5 days,0.0
1976,Kepler-141 b,991.0,0.257 Earths,13.421,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1561/kepler-141-b/,Terrestrial,2014,0.257 Earths,0.69 x Earth,0.039 AU,3.1 days,0.0
1977,Kepler-141 c,991.0,2.57 Earths,13.421,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1562/kepler-141-c/,Super Earth,2014,2.57 Earths,1.41 x Earth,0.067 AU,7 days,0.0
1978,Kepler-1420 b,3011.0,2.18 Earths,15.849,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2867/kepler-1420-b/,Super Earth,2016,2.18 Earths,1.28 x Earth,Unknown,6.7 days,0.0
1979,Kepler-1421 b,2202.0,0.749 Earths,12.726,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2868/kepler-1421-b/,Terrestrial,2016,0.749 Earths,0.93 x Earth,Unknown,6.9 days,0.0
1980,Kepler-1422 b,6788.0,4.74 Earths,15.619,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2869/kepler-1422-b/,Super Earth,2016,4.74 Earths,2.02 x Earth,Unknown,18.6 days,0.0
1981,Kepler-1423 b,1465.0,1.2 Earths,14.558,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2870/kepler-1423-b/,Super Earth,2016,1.2 Earths,1.06 x Earth,Unknown,24 days,0.0
1982,Kepler-1424 b,2022.0,1.65 Earths,13.592,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2871/kepler-1424-b/,Super Earth,2016,1.65 Earths,1.16 x Earth,Unknown,29.6 days,0.0
1983,Kepler-1425 b,1628.0,0.779 Earths,13.563,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2872/kepler-1425-b/,Terrestrial,2016,0.779 Earths,0.94 x Earth,Unknown,14.5 days,0.0
1984,Kepler-1426 b,3950.0,3.05 Earths,15.166,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2873/kepler-1426-b/,Super Earth,2016,3.05 Earths,1.56 x Earth,Unknown,14.3 days,0.0
1985,Kepler-1427 b,3980.0,1.37 Earths,15.482,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2874/kepler-1427-b/,Super Earth,2016,1.37 Earths,1.1 x Earth,Unknown,1 days,0.0
1986,Kepler-1428 b,2616.0,3.33 Earths,13.523,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2296/kepler-1428-b/,Super Earth,2016,3.33 Earths,1.64 x Earth,Unknown,10.7 days,0.0
1987,Kepler-1429 b,3771.0,2.21 Earths,14.832,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2297/kepler-1429-b/,Super Earth,2016,2.21 Earths,1.29 x Earth,Unknown,4.5 days,0.0
1988,Kepler-142 b,1819.0,4.62 Earths,13.197,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5948/kepler-142-b/,Super Earth,2014,4.62 Earths,1.99 x Earth,0.032 AU,2 days,0.0
1989,Kepler-142 c,1819.0,8.55 Earths,13.197,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1641/kepler-142-c/,Neptune-like,2014,8.55 Earths,0.255 x Jupiter,0.057 AU,4.8 days,0.0
1990,Kepler-142 d,1819.0,5.31 Earths,13.197,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1642/kepler-142-d/,Neptune-like,2014,5.31 Earths,2.16 x Earth,0.242 AU,41.8 days,0.0
1991,Kepler-1430 b,1765.0,1.76 Earths,15.282,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2298/kepler-1430-b/,Super Earth,2016,1.76 Earths,1.18 x Earth,Unknown,2.5 days,0.0
1992,Kepler-1431 b,4143.0,2.76 Earths,15.271,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2299/kepler-1431-b/,Super Earth,2016,2.76 Earths,1.47 x Earth,Unknown,5.9 days,0.0
1993,Kepler-1432 b,5063.0,5.56 Earths,15.37,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2300/kepler-1432-b/,Neptune-like,2016,5.56 Earths,2.22 x Earth,Unknown,23.9 days,0.0
1994,Kepler-1433 b,4332.0,3.05 Earths,14.826,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2301/kepler-1433-b/,Super Earth,2016,3.05 Earths,1.56 x Earth,Unknown,4.1 days,0.0
1995,Kepler-1434 b,2218.0,1.41 Earths,12.042,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2302/kepler-1434-b/,Super Earth,2016,1.41 Earths,1.11 x Earth,Unknown,8.1 days,0.0
1996,Kepler-1435 b,2221.0,0.566 Earths,12.869,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2303/kepler-1435-b/,Terrestrial,2016,0.566 Earths,0.86 x Earth,Unknown,4.5 days,0.0
1997,Kepler-1436 b,3725.0,2.27 Earths,14.91,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2304/kepler-1436-b/,Super Earth,2016,2.27 Earths,1.31 x Earth,Unknown,9.7 days,0.0
1998,Kepler-1437 b,3856.0,2.45 Earths,15.661,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2305/kepler-1437-b/,Super Earth,2016,2.45 Earths,1.37 x Earth,Unknown,10.9 days,0.0
1999,Kepler-1438 b,2825.0,0.779 Earths,14.861,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2306/kepler-1438-b/,Terrestrial,2016,0.779 Earths,0.94 x Earth,Unknown,2.3 days,0.0
2000,Kepler-1439 b,701.0,2.73 Earths,16.098,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2307/kepler-1439-b/,Super Earth,2016,2.73 Earths,1.46 x Earth,Unknown,8.1 days,0.0
2001,Kepler-143 b,2703.0,6.39 Earths,13.706,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1643/kepler-143-b/,Neptune-like,2014,6.39 Earths,0.215 x Jupiter,0.127 AU,16 days,0.0
2002,Kepler-143 c,2703.0,11.3 Earths,13.706,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1644/kepler-143-c/,Neptune-like,2014,11.3 Earths,0.301 x Jupiter,0.181 AU,27.1 days,0.0
2003,Kepler-1440 b,2234.0,2.13 Earths,14.102,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2308/kepler-1440-b/,Super Earth,2016,2.13 Earths,1.26 x Earth,Unknown,39.9 days,0.0
2004,Kepler-1441 b,2450.0,2.27 Earths,14.257,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2309/kepler-1441-b/,Super Earth,2016,2.27 Earths,1.31 x Earth,Unknown,39.4 days,0.0
2005,Kepler-1442 b,1713.0,14.7 Earths,12.03,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2310/kepler-1442-b/,Neptune-like,2016,14.7 Earths,0.351 x Jupiter,Unknown,81.4 days,0.0
2006,Kepler-1443 b,1549.0,0.871 Earths,12.212,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2311/kepler-1443-b/,Terrestrial,2016,0.871 Earths,0.97 x Earth,Unknown,2.4 days,0.0
2007,Kepler-1444 b,1109.0,5.39 Earths,12.258,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2312/kepler-1444-b/,Neptune-like,2016,5.39 Earths,2.18 x Earth,Unknown,33.4 days,0.0
2008,Kepler-1445 b,1572.0,0.84 Earths,12.418,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2313/kepler-1445-b/,Terrestrial,2016,0.84 Earths,0.96 x Earth,Unknown,10.6 days,0.0
2009,Kepler-1446 b,528.0,0.477 Earths,12.409,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2314/kepler-1446-b/,Terrestrial,2016,0.477 Earths,0.82 x Earth,Unknown,0.7 days,0.0
2010,Kepler-1447 b,2841.0,8.75 Earths,14.664,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2315/kepler-1447-b/,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,56.7 days,0.0
2011,Kepler-1448 b,2564.0,3.22 Earths,14.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2316/kepler-1448-b/,Super Earth,2016,3.22 Earths,1.61 x Earth,Unknown,12.3 days,0.0
2012,Kepler-1449 b,4309.0,3.46 Earths,15.031,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2317/kepler-1449-b/,Super Earth,2016,3.46 Earths,1.68 x Earth,Unknown,13.2 days,0.0
2013,Kepler-144 b,1270.0,2.33 Earths,11.944,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1645/kepler-144-b/,Super Earth,2014,2.33 Earths,1.33 x Earth,0.066 AU,5.9 days,0.0
2014,Kepler-144 c,1270.0,2.39 Earths,11.944,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1646/kepler-144-c/,Super Earth,2014,2.39 Earths,1.35 x Earth,0.094 AU,10.1 days,0.0
2015,Kepler-1450 b,1598.0,3.57 Earths,15.489,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2318/kepler-1450-b/,Super Earth,2016,3.57 Earths,1.71 x Earth,Unknown,54.5 days,0.0
2016,Kepler-1451 b,3781.0,11.2 Earths,15.3,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2319/kepler-1451-b/,Neptune-like,2016,11.2 Earths,0.299 x Jupiter,Unknown,35.6 days,0.0
2017,Kepler-1452 b,3177.0,7.75 Earths,13.071,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2320/kepler-1452-b/,Neptune-like,2016,7.75 Earths,0.241 x Jupiter,Unknown,42.9 days,0.0
2018,Kepler-1453 b,4188.0,7.61 Earths,15.528,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2321/kepler-1453-b/,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,Unknown,47.2 days,0.0
2019,Kepler-1454 b,2593.0,4.19 Earths,14.899,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2322/kepler-1454-b/,Super Earth,2016,4.19 Earths,1.88 x Earth,Unknown,47 days,0.0
2020,Kepler-1455 b,1279.0,5.31 Earths,15.866,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2323/kepler-1455-b/,Neptune-like,2016,5.31 Earths,2.16 x Earth,0.2149 AU,49.3 days,0.0
2021,Kepler-1456 b,1236.0,1.55 Earths,15.445,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2324/kepler-1456-b/,Super Earth,2016,1.55 Earths,1.14 x Earth,Unknown,18.1 days,0.0
2022,Kepler-1457 b,2375.0,4.62 Earths,14.028,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2325/kepler-1457-b/,Super Earth,2016,4.62 Earths,1.99 x Earth,Unknown,51.1 days,0.0
2023,Kepler-1458 b,2094.0,8.05 Earths,14.2,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2326/kepler-1458-b/,Neptune-like,2016,8.05 Earths,0.246 x Jupiter,Unknown,48 days,0.0
